size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
71,0.1690140845,0,342,3,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
652,0,9,258,23,0.7475315628,4,0,4,0.4,0,5,3,0,0,0,12,5,1,0,1,0
3,0,1,39,3,0,1,0,1,1,0,2,1,0,0,1,2,1,1,0,2,0
4,0,1,43,3,0,1,0,1,1,0,2,1,0,0,1,2,1,1,0,2,0
461,0.1154791155,1,66,14,1,2,0,2,0.5,0,2,0,0,0,0,6,2,2,0,3,0
149,0.0294117647,1,185,12,0.8080141511,2,0,2,0.5,0,2,0,0,0,0,5,2,1,0,1,0
30,0.3333333333,0,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
6,0.3333333333,1,39,7,0.8631205686,1,0,1,1,0,2,0,0,0,0,4,2,1,0,1,0
998,0.124600639,1,103,10,0.9911594714,2,0,2,0.75,0,2,0,0,0,1,3,3,1,0,1,0
1277,0.056698895,20,1267,79,0.8698652158,7,0,7,0.2142857143,0,6,11,0.0095057034,0,0,22,4,0,0,1,1
14243,0.0952380952,442,39452,829,0.9137706796,40,35,5,0.1688888889,3,37,167,0.0043010753,0,126,771,83,2,2,2,9
1399,0.0625610948,15,7456,104,0.7901766312,10,4,6,0.2647058824,0,10,24,0,0,8,50,13,1,0,2,1
1149,0.202247191,16,125,20,0.9737442139,4,0,4,0.2857142857,0,4,4,0,0,0,4,3,1,0,1,0
6507,0.1103258736,113,8871,263,0.809957181,8,3,5,0.4181818182,0,18,46,0.000275989,2.0124287029,8,56,11,1,1,5,1
4011,0.1428571429,56,7663,212,0.8279062651,8,2,6,0.328358209,0,18,53,0.0002126755,0,10,64,11,1,1,2,1
4462,0.1302445302,66,2292,104,0.8440748549,14,10,4,0.4418604651,0,16,36,0,0,4,30,11,0,0,1,0
2382,0.0278633796,75,220,45,0.9128299562,3,0,3,0.5833333333,0,3,12,0,0,0,0,0,0,0,1,0
37417,0.0567720775,527,36205,974,0.8347986737,26,19,7,0.2094017094,2,38,161,0.0049211243,0,131,641,46,1,14,2,12
9102,0.0843892346,157,3520,184,0.8925714978,17,11,6,0.3103448276,1,21,75,0,0,12,76,23,0,1,2,3
31487,0.0943899981,84,18519,827,0.9141659827,17,13,4,0.6465324385,2,59,412,0,0,22,233,24,1,0,3,6
2750,0.1241830065,10,3475,142,0.9268813073,4,1,3,0.7216494845,0,16,97,0,0,0,6,5,0,0,3,0
3414,0.0391459075,19,1044,98,0.8838610763,9,6,3,0.4210526316,1,16,52,0,0,2,24,12,0,0,1,3
2789,0.1411764706,14,731,89,0.8528345006,4,1,3,0.5272727273,0,17,55,0,0,0,2,2,0,0,2,0
854,0.1555092186,16,274,24,0.6820027314,5,0,5,0.4545454545,0,7,8,0.0041493776,0,5,37,3,2,0,2,1
14088,0.0571428571,250,8226,461,0.8327686527,20,14,6,0.2777777778,2,36,102,0.0084745763,0,31,361,27,1,0,2,6
7265,0.0865971769,99,1636,99,0.8416608619,6,3,3,0.5166666667,0,9,57,0,0,0,16,7,0,1,1,4
231,0.1647286822,2,8,4,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,1,0
1522,0.0768650529,12,4699,62,0.8197426728,8,2,6,0.28,0,13,19,0,0,1,28,7,0,0,2,1
97,0.1715296198,7,9,6,0.6500224216,2,0,2,0.75,0,3,4,0,0,0,0,9,0,0,2,0
42,0,2,2128,48,0,3,0,3,0.3333333333,0,1,1,0.0187969925,2.0625665727,5,56,6,4,1,4,0
8983,0.0744514979,0,66,7,0.8631205686,3,0,3,0.5,0,4,4,0.0326086957,0,0,0,0,0,0,3,0
266,0.2142857143,11,24,6,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0
54,0.1851851852,3,7,2,0,2,0,2,0.5,0,2,2,0,0,0,0,0,0,0,2,0
150,0.3133333333,3,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
742,0.1760154739,25,784,79,0.541099983,4,0,4,0.5,0,7,12,0,0,0,30,8,2,0,1,1
2579,0.1293956044,24,1235,40,0.9383348694,4,0,4,0.4285714286,0,5,28,0,0,0,0,0,0,0,2,0
406,0.076142132,10,6,2,1,2,0,2,0.5,0,2,2,0,0,0,0,0,0,0,1,0
180,0.1333333333,7,19,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
130,0.2307692308,8,28,5,0,2,0,2,0.5,0,2,2,0,0,0,0,0,0,0,2,0
5043,0.1094890511,22,1558,149,0.8695033793,9,6,3,0.4215686275,0,26,101,0,0,0,5,2,0,0,2,0
1159,0.1298245614,4,359,23,0.9532936592,4,1,3,0.4285714286,0,6,21,0,0,0,0,0,0,0,2,0
195,0.0677777778,11,21,7,0.985228136,2,0,2,0.6666666667,0,2,2,0.3055555556,0,0,1,1,0,0,1.5,0
2268,0.0688073394,34,5563,102,0.8880857835,9,0,9,0.3157894737,0,6,12,0.004454343,0,16,57,8,3,0,2,1
14227,0.0714285714,300,22402,596,0.8450664439,22,17,5,0.3088235294,0,25,100,0.0019455253,0,18,371,40,1,12,1,3
9113,0.0859884837,60,2860,131,0.9167683273,9,3,6,0.3965517241,0,14,53,0,0,6,38,12,1,0,1,1
1978,0.1778975741,14,347,28,0.8150622536,9,0,9,0.2307692308,0,9,10,0,0,4,36,9,1,3,3,1
3551,0.1595628415,21,1535,51,0.8327745093,4,0,4,0.3333333333,0,5,10,0.0091743119,2.9370384615,14,56,7,1,0,5,2
206,0,12,815,31,0.8426752631,3,0,3,0.4285714286,0,2,3,0.00390625,0,0,23,14,1,0,1,0
12,0,4,273,6,0,1,0,1,1,0,0,1,0.0036630037,0,0,2,14,1,0,1,0
192,0,12,1159,27,0.9108983918,4,0,4,0.4,0,1,1,0.0927699965,0,0,14,11,2,0,1,0
637,0.2408536585,9,1915,48,0.8941244307,4,0,4,0.2857142857,0,0,2,0.0270562771,0,4,10,5,1,0,1,0
675,0,12,1654,42,0.9739455023,4,0,4,0.3333333333,0,1,1,0.0588235294,0,1,18,9,2,0,1,0
110,0.2181818182,11,44,2,0,1,0,1,1,0,0,0,0.0227272727,0,0,3,3,2,0,1,0
388,0.1701030928,1,8,2,0,1,0,1,1,0,0,1,0.125,0,0,0,0,0,0,1,0
56,0,3,254,3,1,1,0,1,1,0,1,3,0,0,0,3,1,1,0,1,0
38,0,4,151,2,1,1,0,1,1,0,1,2,0,0,0,2,1,1,0,1,0
93,0.1935483871,1,125,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
323,0.1034482759,8,52,12,0.9206198357,3,0,3,0.5,0,1,1,0.25,0,0,12,7,2,0,1,0
968,0.2211538462,7,1054,15,0.9654013673,4,0,4,0.5,0,1,6,0.0069444444,0,0,4,4,0,0,1,0
151,0,3,18,1,0,1,0,1,1,0,0,1,0.5,0,0,1,1,1,0,1,1
122,0.1111111111,9,525,35,0.9905400268,4,0,4,0.4285714286,0,2,2,0.0454545455,0.2491164659,1,19,4,1,0,3,1
4861,0.1590207776,66,4457,91,0,9,0,9,0.1818181818,0,1,3,0.0007852816,0,0,43,13,1,9,17,0
84,0.2023809524,1,28,4,0,1,0,1,1,0,0,1,0.1428571429,0,0,4,2,2,0,1,0
10145,0.150249616,195,11553,607,0.9142169451,17,11,6,0.3140495868,1,16,55,0.0129827522,0,10,260,30,1,16,3,1
468,0.1666666667,13,363,51,0.692659724,2,0,2,0.8571428571,0,6,11,0.0362318841,112.7027777778,0,12,9,1,0,2,1
37,0,1,26,13,0,1,0,1,1,0,0,0,0.6538461538,0,0,0,7,0,0,1,0
5022,0.2518961906,64,7667,213,0.8327257641,14,9,5,0.2558139535,0,15,21,0.0058727143,0,7,81,25,1,3,1,0
113,0.203539823,0,122,5,0,1,0,1,1,0,0,1,0.0081967213,0,1,1,1,1,0,1,1
1260,0.0934065934,60,1838,168,0.9205069081,8,2,6,0.2424242424,0,2,4,0.0564387917,0,0,66,14,1,5,2,0
1043,0.05,69,4034,117,0.9040186132,8,1,7,0.4444444444,0,11,13,0,0,3,64,11,1,1,1,1
1315,0.1735294118,40,104,13,0.9473539683,6,0,6,0.3,0,5,7,0,0,2,5,3,1,0,2,0
616,0.138996139,22,60,12,0.8724974871,3,0,3,0.75,0,3,6,0,0,0,3,5,0,0,1,0
790,0.025862069,44,161,15,0.9641843566,3,0,3,0.7333333333,0,6,14,0,0,0,1,3,0,0,1,0
497,0.0663390663,13,12,2,1,2,0,2,0.5,0,1,0,0.75,922.6958333333,0,7,3,1,0,1,0
1574,0.0616113744,44,7017,117,0.9137783931,6,0,6,0.3428571429,0,7,26,0,0,3,25,7,1,0,1,0
523,0.0362318841,5,408,17,0.9636983369,3,0,3,0.3571428571,0,4,6,0,0,0,8,2,1,0,1,0
13396,0.0955642531,217,9281,488,0.8822554399,14,10,4,0.3421052632,0,18,162,0,0,60,284,24,0,3,1,5
