size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
0,0,0,16,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,85,8,0.7124143742,2,0,2,1,0,1,8,1,0,1,4,1,0,0,0,0
2760,175,5,574,8,0,8,0,8,0.125,5,0,1,1,1,2,8,5,0,0,8,0
955,34,6,1116,41,0.9534528637,7,4,3,0.4146341463,2,10,0,1,1,21,386,15,0,0,0,1
0,0,0,4,2,0.3868528072,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,4,2,0.2890648263,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,4,2,0.3562071871,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,4,2,0.3010299957,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
11,1,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1050,80,0,1080,41,0.982262978,4,1,3,0.487804878,3,2,0,1,1,0,0,0,0,0,6,0
1583,59,1,2314,73,0.9957941815,3,0,3,0.602739726,3,1,0,1,1,0,0,0,0,0,0,0
915,73,6,551,23,0.9338012249,7,0,7,0.347826087,4,1,0,1,1,0,0,0,0,0,0,0
186,28,2,310,9,0.9910760598,3,0,3,0.4444444444,4,1,0,1,1,0,0,0,0,0,8,0
146,21,0,102,5,0.9709505945,3,0,3,0.4,1,0,0,1,0.5,0,0,0,0,0,0,0
1486,297,2,245,8,0,4,0,4,0.5,5,0,0,0.5,0.5,0,0,0,0,0,15,1
1589,377,2,226,6,0,2,0,2,0.6666666667,5,0,0,0.5,0.5,0,0,0,0,0,13,2
815,204,3,255,12,0,9,0,9,0.3333333333,6,0,1,0.5,0.5,0,0,0,0,0,22,0
