size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
46,5,1,4,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,2
110,13,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
557,45,0,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
1914,72,7,17,4,0.8112781245,4,0,4,0.5,2,1,0,1,0.5,2,5,4,0,0,0,0
586,36,0,10,5,0.9609640474,2,0,2,0.8,1,0,0,1,0,0,0,0,0,0,0,0
278,55,2,8,2,0,3,0,3,0.5,2,0,0,1,1,1,2,2,0,0,0,0
406,59,2,2,1,0,1,0,1,1,0,0,0,1,0,1,2,2,0,0,0,0
2334,23,32,490,144,0.9908885595,5,1,4,0.7916666667,2,1,0,1,12,4,180,4,0,0,3,0
18,2,0,12,4,1,3,0,3,1,1,0,0,1,15,2,10,3,0,0,0,0
258,20,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
357,28,2,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1444,22,11,213,70,0.9937251018,4,0,4,1,2,1,0,1,15,3,117,3,0,0,3,5
608,131,2,112,11,0.8453509366,5,0,5,0.3636363636,3,2,0,1,43.5,0,0,0,0,0,13,0
24,2,0,4,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
3020,284,3,56,14,0.9745230456,4,0,4,1,2,0,0,1,23,1,56,2,0,0,1,0
789,127,1,8,2,1,3,0,3,1,1,0,0,1,23,1,4,2,0,0,1,0
1888,163,0,12,3,0.5645750341,3,0,3,0,1,0,0,0,0,1,12,2,0,0,1,0
474,35,1,25,2,0,2,0,2,0.5,0,0,0,1,0,0,0,0,0,0,1,0
