defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,19,0.0526315839,0,0,0,0,0,0,0,0,0,0,0,0
0,678,0.0058997052,0,0,0,0,0,0,0,0,0,0,0,0
0,7810,0.2782330346,0,0,0,0,0,0,0,0,0,0,0,0
0,411,0.177615572,11,1,1,0,1,1,0,0,0,0,18878.0714285714,0.5
0,19867,0.1388231741,0,0,0,0,0,0,0,0,0,0,0,0
0,5341,0.18161393,54,0,1,0,1,1,0,0,0,0,0,0
0,2276,0.0672231986,22,1,2,0,2,0.6666666667,1,0,0,0,0,0
0,1006,0.1620278331,0,0,0,0,0,0,0,0,0,0,0,0
0,145,0.2000000006,0,0,0,0,0,0,0,0,0,0,0,0
0,1788,0.2438478748,0,0,0,0,0,0,0,0,0,0,0,0
0,5466,0.1831320893,0,0,0,0,0,0,0,0,0,0,0,0
0,4837,0.2489146165,0,0,0,0,0,0,0,0,0,0,0,0
0,180,0.1722222227,0,0,0,0,0,0,0,0,0,0,0,0
0,3507,0.2449386941,0,0,0,0,0,0,0,0,0,0,0,0
0,124,0.2580645167,0,0,0,0,0,0,0,0,0,0,0,0
0,10573,0.2028752483,7869,1,4,0,4,0.5714285714,0.9922058171,4,2,1,1121.8020833333,0.0421747967
0,19,0.1052631626,0,0,0,0,0,0,0,0,0,0,0,0
2,17444,0.1512267829,0,0,0,0,0,0,0,0,0,0,0,0
0,13660,0.1603221084,0,0,0,0,0,0,0,0,0,0,0,0
2,20817,0.1850891099,1516,1,3,0,3,0.5,1,0,0,1,2262.3907867495,0.2717391304
0,6201,0.31301403,343,0,3,0,3,0.3333333333,1,0,0,0,395.7293956044,0.0070422535
0,1101,0.157129882,2,0,1,0,1,1,1,0,0,0,2179.4674295775,0.0070422535
0,78,0.0512820525,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,154,0.0129870136,0,0,0,0,0,0,0,0,0,0,0,0
0,6352,0.175220403,0,0,0,0,0,0,0,0,0,0,0,0
0,320,0.1187500003,0,0,0,0,0,0,0,0,0,0,0,0
0,2253,0.17310253,0,0,0,0,0,0,0,0,0,0,0,0
0,6279,0.1347348304,0,0,0,0,0,0,0,0,0,0,0,0
0,8727,0.181620259,0,0,0,0,0,0,0,0,0,0,0,0
0,2122,0.2059377946,0,0,0,0,0,0,0,0,0,0,0,0
