size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
117,0.1052631579,13,50,17,0.8731921181,3,0,3,0.4,0,2,5,0.0555555556,0,0,3,1,1,0,1,0
3031,0.0714285714,85,2358,171,0.9107408509,22,16,6,0.2033898305,0,21,40,0.0142857143,0,9,106,18,1,5,1,6
2657,0.1351351351,77,9870,274,0.84763096,22,15,7,0.2077922078,1,18,57,0.0027472527,0,32,274,21,2,2,2,1
1589,0.1333295717,12,284,31,0.9321100283,9,0,9,0.1578947368,0,7,19,0.0303030303,0,2,33,7,2,0,2,2
7756,0.0923295455,160,51328,1113,0.9080269918,39,32,7,0.133126935,2,39,205,0.0134439359,0,60,591,31,2,47,4,11
503,0.16,10,87,14,0.9032139774,5,0,5,0.3333333333,0,5,9,0.0333333333,0,4,25,9,1,0,4,1
2327,0.0737957611,39,5697,292,0.904741348,9,4,5,0.32,1,16,56,0.0006459948,0,0,33,9,0,6,3,4
5908,0.1730567227,392,7751,827,0.9388979155,40,33,7,0.0912863071,2,44,142,0.0352272727,0,3,562,33,1,14,3,10
5985,0.1318181818,104,13772,342,0.8601973827,31,26,5,0.2718446602,0,33,65,0.0064377682,0,20,188,21,1,6,4,11
158,0.1399589111,2,11,3,0.9182958341,2,0,2,0.5,0,1,2,0.0833333333,0,0,1,1,0,0,1,0
490,0.1298245614,14,48,15,0.883037441,6,0,6,0.4545454545,0,9,11,0.125,0,1,7,4,1,0,3,0
229,0.0786026201,5,395,2,0,1,0,1,1,0,0,1,0.0025316456,0,1,1,1,1,0,1,0
23,0.1333333333,2,33,2,1,2,0,2,0.5,0,2,2,0,0,0,0,2,0,0,1,0
34,0.1363636364,1,30,3,0.9182958341,2,0,2,0.6666666667,0,2,3,0,0,0,0,0,0,0,1.5,0
601,0.0833333333,168,8130,199,0.8721034164,14,7,7,0.5,1,11,19,0.0044742729,0.0261558538,21,111,154,2,2,2,1
66,0,6,421,37,0.7172828321,5,0,5,0.5555555556,0,4,6,0.0321285141,0,0,30,15,4,1,1,0
10575,0.1088876919,1312,29978,1578,0.7220068798,109,108,1,0.0557275542,2,96,167,0.0035704601,0,115,879,309,2,48,2,7
3779,0.0671661069,154,13531,736,0.7753830506,43,37,6,0.1208791209,0,64,123,0.0034672619,0,19,267,62,1,16,1,5
38,0,1,8,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
467,0.0648148148,9,12234,219,0.9189034979,4,1,3,0.7666666667,0,11,16,0.001912144,0,4,39,13,2,0,1,1
179,0.0784313725,2,815,20,0.6098403047,4,0,4,0.375,0,7,6,0,0,0,2,1,1,0,4,0
566,0.0153846154,2,46,18,0.9147026628,3,0,3,0.5,0,3,6,0,0,0,0,0,0,0,1,0
1074,0.0578512397,1,886,49,0.9434308257,6,0,6,0.3125,0,6,15,0,0,0,5,2,0,1,2,0
213,0.0806060606,0,1748,26,0.9806183024,2,0,2,0.6666666667,0,1,6,0.0027055568,0,1,4,1,1,0,1.5,0
145,0.0608695652,1,1507,30,1,2,0,2,0.75,0,1,2,0.0017503229,0,1,14,5,2,0,4,0
62,0.1375,2,157,14,1,2,0,2,0.75,0,1,2,0.0363514174,0,0,0,0,0,0,2,0
55,0.0625,0,177,6,1,1,0,1,1,0,1,2,0,0,4,14,2,2,0,1,0
80,0.0873015873,0,556,8,1,1,0,1,1,0,0,0,0.0168907116,0,1,10,2,2,0,1,0
195,0.0869565217,3,1031,24,0.9474343611,4,0,4,0.4444444444,0,2,8,0.0137077295,0,0,12,6,2,0,1,0
547,0.1149144254,12,61,13,0.8420887816,4,0,4,0.375,0,4,7,0,0,0,5,3,0,0,2,1
76,0.1048387097,0,1431,30,0.8366407419,3,0,3,0.5714285714,0,2,4,0.0088849863,0,0,6,2,2,0,3.5,0
1175,0.1056466302,8,4612,138,0.6708238491,13,5,8,0.303030303,1,12,18,0.0010416667,0.5137818287,9,81,17,1,8,18,2
122,0.025210084,0,2000,34,0.9899927916,2,0,2,0.75,0,1,2,0.0271599044,0,9,27,4,2,0,2,0
1489,0.0668276973,32,540,64,0.6885952546,7,2,5,0.347826087,0,9,20,0.0016666667,0.6119027778,2,42,8,0,0,5.5,0
178,0.0816326531,24,200,23,0.9876925089,4,0,4,0.3333333333,0,4,4,0,0,0,2,2,1,0,3,0
911,0.1228070175,2,32,5,0.9602297179,2,0,2,0.6666666667,0,2,3,0,0,0,0,0,0,0,1,0
21,0,1,16,2,0,1,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0
1977,0.0602355072,47,2419,76,0.7693981305,13,7,6,0.2083333333,0,10,13,0.0180861855,0,4,38,21,1,1,1.5,2
329,0.1219720718,8,8,6,0.9182958341,2,0,2,0.5,0,2,0,0,0,0,2,2,1,0,1,0
9015,0.0769230769,321,5265,432,0.8969164123,7,3,4,0.5,0,9,43,0.0143369176,0,20,157,20,1,1,2,1
873,0.0975609756,98,2422,66,0.9033053584,5,0,5,0.5384615385,0,5,7,0.0122057541,0,5,33,23,1,0,2,0
336,0.0614334471,13,601,41,0.901170196,3,0,3,0.875,0,7,11,0.0165291591,0,1,16,5,1,0,8.5,0
